"Device ID:-ESP098990, FileName:-1162019-07-23_15H35M13S.csv, Load:-116"
TimeElapsed,Value
0:52:56,2.66
0:53:0,2.66
0:53:4,2.66
0:53:8,2.66
0:53:12,2.66
0:53:16,2.66
0:53:20,2.66
0:53:24,2.66
0:53:28,2.66
0:53:32,2.66
0:53:36,2.66
0:53:40,2.66
0:53:44,2.66
0:53:48,2.66
0:53:52,2.66
0:53:56,2.66
0:54:0,2.657
0:54:4,2.66
0:54:8,2.66
0:54:12,2.66
0:54:16,2.66
0:54:20,2.66
0:54:24,2.66
0:54:28,2.66
0:54:32,2.66
0:54:36,2.66
0:54:40,2.66
0:54:44,2.66
0:54:48,2.66
0:54:52,2.66
0:54:56,2.66
0:55:0,2.66
0:55:4,2.66
0:55:8,2.66
0:55:12,2.66
0:55:16,2.66
0:55:20,2.66
0:55:24,2.657
0:55:28,2.657
0:55:32,2.657
0:55:36,2.657
0:55:40,2.657
0:55:44,2.657
0:55:48,2.66
0:55:52,2.657
0:55:56,2.66
0:56:0,2.657
0:56:4,2.657
0:56:8,2.657
0:56:12,2.657
0:56:16,2.657
0:56:20,2.657
0:56:24,2.657
0:56:28,2.657
0:56:32,2.657
0:56:36,2.657
0:56:40,2.657
0:56:44,2.657
0:56:48,2.657
0:56:52,2.657
0:56:56,2.657
0:57:0,2.657
0:57:4,2.657
0:57:8,2.657
0:57:12,2.657
0:57:16,2.657
0:57:20,2.657
0:57:24,2.657
0:57:28,2.657
0:57:32,2.657
0:57:36,2.657
0:57:40,2.657
0:57:44,2.657
0:57:48,2.657
0:57:52,2.657
0:57:56,2.657
0:58:0,2.657
0:58:4,2.657
0:58:8,2.657
0:58:12,2.657
0:58:16,2.657
0:58:20,2.657
0:58:24,2.657
0:58:28,2.657
0:58:32,2.657
0:58:36,2.657
0:58:40,2.657
0:58:44,2.657
0:58:48,2.654
0:58:52,2.657
0:58:56,2.657
0:59:0,2.657
0:59:4,2.657
0:59:8,2.657
0:59:12,2.657
0:59:16,2.657
0:59:20,2.657
0:59:24,2.657
0:59:28,2.657
0:59:32,2.657
0:59:36,2.657
0:59:40,2.657
0:59:44,2.657
0:59:48,2.657
0:59:52,2.657
0:59:56,2.654
1:0:0,2.654
1:0:4,2.654
1:0:8,2.654
1:0:12,2.654
1:0:16,2.654
1:0:20,2.654
1:0:24,2.654
1:0:28,2.654
1:0:32,2.654
1:0:36,2.654
1:0:40,2.654
1:0:44,2.654
1:0:48,2.654
1:0:52,2.654
1:0:56,2.654
1:1:0,2.654
1:1:4,2.654
1:1:8,2.654
1:1:12,2.654
1:1:16,2.654
1:1:20,2.654
1:1:24,2.654
1:1:28,2.654
1:1:32,2.654
1:1:36,2.654
1:1:40,2.654
1:1:44,2.654
1:1:48,2.654
1:1:52,2.654
1:1:56,2.654
1:2:0,2.651
1:2:4,2.654
1:2:8,2.654
1:2:12,2.654
1:2:16,2.651
1:2:20,2.654
1:2:24,2.654
1:2:28,2.651
1:2:32,2.654
1:2:36,2.654
1:2:40,2.654
1:2:44,2.654
1:2:48,2.654
1:2:52,2.651
1:2:56,2.651
1:3:0,2.651
1:3:4,2.651
1:3:8,2.651
1:3:12,2.651
1:3:16,2.651
1:3:20,2.654
1:3:24,2.654
1:3:28,2.651
1:3:32,2.651
1:3:36,2.651
1:3:40,2.651
1:3:44,2.651
1:3:48,2.651
1:3:52,2.651
1:3:56,2.651
1:4:0,2.651
1:4:4,2.651
1:4:8,2.651
1:4:12,2.651
1:4:16,2.651
1:4:20,2.651
1:4:24,2.651
1:4:28,2.654
1:4:32,2.651
1:4:36,2.651
1:4:40,2.651
1:4:44,2.651
1:4:48,2.651
1:4:52,2.651
1:4:56,2.651
1:5:0,2.651
1:5:4,2.651
1:5:8,2.651
1:5:12,2.651
1:5:16,2.651
1:5:20,2.651
1:5:24,2.651
1:5:28,2.651
1:5:32,2.651
1:5:36,2.651
1:5:40,2.651
1:5:44,2.651
1:5:48,2.651
1:5:52,2.651
1:5:56,2.651
1:6:0,2.651
1:6:4,2.651
1:6:8,2.651
1:6:12,2.651
1:6:16,2.651
1:6:20,2.651
1:6:24,2.651
1:6:28,2.651
1:6:32,2.651
1:6:36,2.651
1:6:40,2.651
1:6:44,2.648
1:6:48,2.651
1:6:52,2.651
1:6:56,2.651
1:7:0,2.651
1:7:4,2.651
1:7:8,2.651
1:7:12,2.651
1:7:16,2.651
1:7:20,2.648
1:7:24,2.648
1:7:28,2.651
1:7:32,2.648
1:7:36,2.651
1:7:40,2.651
1:7:44,2.651
1:7:48,2.651
1:7:52,2.651
1:7:56,2.651
1:8:0,2.648
1:8:4,2.651
1:8:8,2.648
1:8:12,2.648
1:8:16,2.648
1:8:20,2.648
1:8:24,2.648
1:8:28,2.648
1:8:32,2.648
1:8:36,2.648
1:8:40,2.648
1:8:44,2.648
1:8:48,2.648
1:8:52,2.648
1:8:56,2.648
1:9:0,2.648
1:9:4,2.648
1:9:8,2.648
1:9:12,2.648
1:9:16,2.648
1:9:20,2.648
1:9:24,2.646
1:9:28,2.648
1:9:32,2.648
1:9:36,2.648
1:9:40,2.646
1:9:44,2.648
1:9:48,2.646
1:9:52,2.646
1:9:56,2.646
1:10:0,2.648
1:10:4,2.646
1:10:8,2.648
1:10:12,2.646
1:10:16,2.646
1:10:20,2.646
1:10:24,2.646
1:10:28,2.646
1:10:32,2.648
1:10:36,2.648
1:10:40,2.646
1:10:44,2.646
1:10:48,2.646
1:10:52,2.646
1:10:56,2.646
1:11:0,2.646
1:11:4,2.646
1:11:8,2.646
1:11:12,2.646
1:11:16,2.646
1:11:20,2.646
1:11:24,2.646
1:11:28,2.646
1:11:32,2.646
1:11:36,2.646
1:11:40,2.646
1:11:44,2.646
1:11:48,2.646
1:11:52,2.646
1:11:56,2.646
1:12:0,2.646
1:12:4,2.646
1:12:8,2.646
1:12:12,2.646
1:12:16,2.646
1:12:20,2.646
1:12:24,2.646
1:12:28,2.646
1:12:32,2.646
1:12:36,2.646
1:12:40,2.646
1:12:44,2.646
1:12:48,2.646
1:12:52,2.646
1:12:56,2.646
1:13:0,2.646
1:13:4,2.646
1:13:8,2.646
1:13:12,2.646
1:13:16,2.646
1:13:20,2.646
1:13:24,2.646
1:13:28,2.646
1:13:32,2.646
1:13:36,2.646
1:13:40,2.646
1:13:44,2.646
1:13:48,2.646
1:13:52,2.646
1:13:56,2.646
1:14:0,2.646
1:14:4,2.646
1:14:8,2.646
1:14:12,2.646
1:14:16,2.646
1:14:20,2.646
1:14:24,2.646
1:14:28,2.643
1:14:32,2.643
1:14:36,2.646
1:14:40,2.646
1:14:44,2.643
1:14:48,2.646
1:14:52,2.643
1:14:56,2.643
1:15:0,2.643
1:15:4,2.643
1:15:8,2.643
1:15:12,2.643
1:15:16,2.643
1:15:20,2.643
1:15:24,2.643
1:15:28,2.643
1:15:32,2.643
1:15:36,2.643
1:15:40,2.643
1:15:44,2.643
1:15:48,2.643
1:15:52,2.643
1:15:56,2.643
1:16:0,2.643
1:16:4,2.643
1:16:8,2.643
1:16:12,2.643
1:16:16,2.643
1:16:20,2.643
1:16:24,2.643
1:16:28,2.643
1:16:32,2.643
1:16:36,2.643
1:16:40,2.643
1:16:44,2.643
1:16:48,2.643
1:16:52,2.643
1:16:56,2.643
1:17:0,2.643
1:17:4,2.643
1:17:8,2.643
1:17:12,2.643
1:17:16,2.643
1:17:20,2.643
1:17:24,2.643
1:17:28,2.643
1:17:32,2.643
1:17:36,2.643
1:17:40,2.643
1:17:44,2.643
1:17:48,2.643
1:17:52,2.643
1:17:56,2.643
1:18:0,2.643
1:18:4,2.643
1:18:8,2.643
1:18:12,2.643
1:18:16,2.643
1:18:20,2.643
1:18:24,2.643
1:18:28,2.643
1:18:32,2.643
1:18:36,2.643
1:18:40,2.643
1:18:44,2.643
1:18:48,2.643
1:18:52,2.643
1:18:56,2.643
1:19:0,2.643
1:19:4,2.643
1:19:8,2.643
1:19:12,2.643
1:19:16,2.64
1:19:20,2.64
1:19:24,2.64
1:19:28,2.643
1:19:32,2.643
1:19:36,2.64
1:19:40,2.643
1:19:44,2.64
1:19:48,2.643
1:19:52,2.64
1:19:56,2.64
1:20:0,2.643
1:20:4,2.64
1:20:8,2.64
1:20:12,2.64
1:20:16,2.64
1:20:20,2.64
1:20:24,2.64
1:20:28,2.64
1:20:32,2.637
1:20:36,2.64
1:20:40,2.637
1:20:44,2.637
1:20:48,2.64
1:20:52,2.637
1:20:56,2.637
1:21:0,2.637
1:21:4,2.637
1:21:8,2.637
1:21:12,2.637
1:21:16,2.637
1:21:20,2.637
1:21:24,2.637
1:21:28,2.637
1:21:32,2.637
1:21:36,2.637
1:21:40,2.64
1:21:44,2.64
1:21:48,2.637
1:21:52,2.637
1:21:56,2.64
1:22:0,2.637
1:22:4,2.637
1:22:8,2.637
1:22:12,2.637
1:22:16,2.637
1:22:20,2.637
1:22:24,2.637
1:22:28,2.637
1:22:32,2.637
1:22:36,2.637
1:22:40,2.637
1:22:44,2.637
1:22:48,2.637
1:22:52,2.637
1:22:56,2.637
1:23:0,2.637
1:23:4,2.637
1:23:8,2.637
1:23:12,2.637
1:23:16,2.637
1:23:20,2.637
1:23:24,2.637
1:23:28,2.637
1:23:32,2.637
1:23:36,2.637
1:23:40,2.637
1:23:44,2.622
1:23:48,2.628
1:23:52,2.631
1:23:56,2.631
1:24:0,2.637
1:24:4,2.631
1:24:8,2.631
1:24:12,2.631
1:24:16,2.631
1:24:20,2.637
1:24:24,2.637
1:24:28,2.637
1:24:32,2.637
1:24:36,2.637
1:24:40,2.637
1:24:44,2.631
1:24:48,2.631
1:24:52,2.637
1:24:56,2.637
1:25:0,2.637
1:25:4,2.637
1:25:8,2.637
1:25:12,2.637
1:25:16,2.637
1:25:20,2.637
1:25:24,2.631
