"Device ID:-analog, FileName:-analog2322019-07-1807H56M08S.csv"
TimeElapsed,Value
34min 52sec,2.757
34min 56sec,2.757
35min,2.76
35min 4sec,2.751
35min 8sec,2.757
35min 12sec,2.754
35min 16sec,2.754
35min 20sec,2.757
35min 24sec,2.757
35min 28sec,2.757
35min 32sec,2.754
35min 36sec,2.757
35min 40sec,2.754
35min 44sec,2.754
35min 48sec,2.757
35min 52sec,2.757
35min 56sec,2.754
36min,2.754
36min 4sec,2.754
36min 8sec,2.754
36min 12sec,2.754
36min 16sec,2.748
36min 20sec,2.754
36min 24sec,2.754
36min 28sec,2.754
36min 32sec,2.757
36min 36sec,2.754
36min 40sec,2.748
36min 44sec,2.757
36min 48sec,2.754
36min 52sec,2.754
36min 56sec,2.754
37min,2.748
37min 4sec,2.754
37min 8sec,2.754
37min 12sec,2.748
37min 16sec,2.748
37min 20sec,2.751
37min 24sec,2.748
37min 28sec,2.751
37min 32sec,2.748
37min 36sec,2.748
37min 40sec,2.748
37min 44sec,2.748
37min 48sec,2.751
37min 52sec,2.748
37min 56sec,2.748
38min,2.748
38min 4sec,2.748
38min 8sec,2.748
38min 12sec,2.748
38min 16sec,2.748
38min 20sec,2.748
38min 24sec,2.748
38min 28sec,2.748
38min 32sec,2.748
38min 36sec,2.748
38min 40sec,2.745
38min 44sec,2.748
38min 48sec,2.748
38min 52sec,2.748
38min 56sec,2.748
39min,2.745
39min 4sec,2.745
39min 8sec,2.745
39min 12sec,2.745
39min 16sec,2.745
39min 20sec,2.745
39min 24sec,2.745
39min 28sec,2.745
39min 32sec,2.745
39min 36sec,2.745
39min 40sec,2.745
39min 44sec,2.745
39min 48sec,2.745
39min 52sec,2.745
39min 56sec,2.745
40min,2.745
40min 4sec,2.745
40min 8sec,2.745
40min 12sec,2.745
40min 16sec,2.745
40min 20sec,2.745
40min 24sec,2.745
40min 28sec,2.745
40min 32sec,2.745
40min 36sec,2.745
40min 40sec,2.742
40min 44sec,2.742
40min 48sec,2.742
40min 52sec,2.742
40min 56sec,2.742
41min,2.742
41min 4sec,2.742
41min 8sec,2.742
41min 12sec,2.742
41min 16sec,2.742
41min 20sec,2.736
41min 24sec,2.742
41min 28sec,2.742
41min 32sec,2.742
41min 36sec,2.742
41min 40sec,2.742
41min 44sec,2.742
41min 48sec,2.736
41min 52sec,2.742
41min 56sec,2.742
42min,2.742
42min 4sec,2.742
42min 8sec,2.742
42min 12sec,2.736
42min 16sec,2.742
42min 20sec,2.742
42min 24sec,2.742
42min 28sec,2.736
42min 32sec,2.736
42min 36sec,2.736
42min 40sec,2.736
42min 44sec,2.736
42min 48sec,2.736
42min 52sec,2.736
42min 56sec,2.736
43min,2.733
43min 4sec,2.736
43min 8sec,2.736
43min 12sec,2.736
43min 16sec,2.736
43min 20sec,2.733
43min 24sec,2.736
43min 28sec,2.736
43min 32sec,2.736
43min 36sec,2.736
43min 40sec,2.736
43min 44sec,2.733
43min 48sec,2.736
43min 52sec,2.736
43min 56sec,2.736
44min,2.736
44min 4sec,2.736
44min 8sec,2.733
44min 12sec,2.733
44min 16sec,2.733
44min 20sec,2.733
44min 24sec,2.733
44min 28sec,2.733
44min 32sec,2.733
44min 36sec,2.733
44min 40sec,2.733
44min 44sec,2.733
44min 48sec,2.733
44min 52sec,2.733
44min 56sec,2.733
45min,2.733
45min 4sec,2.733
45min 8sec,2.733
45min 12sec,2.733
45min 16sec,2.733
45min 20sec,2.733
45min 24sec,2.733
45min 28sec,2.733
45min 32sec,2.733
45min 36sec,2.73
45min 40sec,2.73
45min 44sec,2.728
45min 48sec,2.733
45min 52sec,2.733
45min 56sec,2.733
46min,2.73
46min 4sec,2.73
46min 8sec,2.73
46min 12sec,2.73
46min 16sec,2.73
46min 20sec,2.733
46min 24sec,2.73
46min 28sec,2.73
46min 32sec,2.73
46min 36sec,2.73
46min 40sec,2.73
46min 44sec,2.73
46min 48sec,2.73
46min 52sec,2.73
46min 56sec,2.73
47min,2.73
47min 4sec,2.73
47min 8sec,2.73
47min 12sec,2.73
47min 16sec,2.73
47min 20sec,2.728
47min 24sec,2.73
47min 28sec,2.73
47min 32sec,2.73
47min 36sec,2.728
47min 40sec,2.73
47min 44sec,2.73
47min 48sec,2.73
47min 52sec,2.728
47min 56sec,2.73
48min,2.728
48min 4sec,2.728
48min 8sec,2.728
48min 12sec,2.728
48min 16sec,2.728
48min 20sec,2.728
48min 24sec,2.728
48min 28sec,2.728
48min 32sec,2.728
48min 36sec,2.728
48min 40sec,2.725
48min 44sec,2.722
48min 48sec,2.725
48min 52sec,2.725
48min 56sec,2.725
49min,2.722
49min 4sec,2.725
49min 8sec,2.722
49min 12sec,2.725
49min 16sec,2.722
49min 20sec,2.722
49min 24sec,2.722
49min 28sec,2.722
49min 32sec,2.719
49min 36sec,2.719
49min 40sec,2.722
49min 44sec,2.719
49min 48sec,2.719
49min 52sec,2.719
49min 56sec,2.719
50min,2.719
50min 4sec,2.719
50min 8sec,2.719
50min 12sec,2.719
50min 16sec,2.719
50min 20sec,2.719
50min 24sec,2.719
50min 28sec,2.719
50min 32sec,2.719
50min 36sec,2.719
50min 40sec,2.719
50min 44sec,2.719
50min 48sec,2.719
50min 52sec,2.719
50min 56sec,2.719
51min,2.719
51min 4sec,2.719
51min 8sec,2.719
51min 12sec,2.719
51min 16sec,2.719
51min 20sec,2.719
51min 24sec,2.719
51min 28sec,2.719
51min 32sec,2.716
51min 36sec,2.716
51min 40sec,2.719
51min 44sec,2.716
51min 48sec,2.719
51min 52sec,2.716
51min 56sec,2.716
52min,2.716
52min 4sec,2.716
52min 8sec,2.716
52min 12sec,2.716
52min 16sec,2.716
52min 20sec,2.716
52min 24sec,2.716
52min 28sec,2.716
52min 32sec,2.716
52min 36sec,2.716
52min 40sec,2.716
52min 44sec,2.716
52min 48sec,2.716
52min 52sec,2.716
52min 56sec,2.716
53min,2.716
53min 4sec,2.716
53min 8sec,2.716
53min 12sec,2.716
53min 16sec,2.716
53min 20sec,2.716
53min 24sec,2.716
53min 28sec,2.716
53min 32sec,2.716
53min 36sec,2.716
53min 40sec,2.716
53min 44sec,2.716
53min 48sec,2.713
53min 52sec,2.713
53min 56sec,2.713
54min,2.713
54min 4sec,2.713
54min 8sec,2.713
54min 12sec,2.713
54min 16sec,2.713
54min 20sec,2.713
54min 24sec,2.713
54min 28sec,2.713
54min 32sec,2.713
54min 36sec,2.713
54min 40sec,2.716
54min 44sec,2.713
54min 48sec,2.713
54min 52sec,2.713
54min 56sec,2.713
55min,2.713
55min 4sec,2.713
55min 8sec,2.713
55min 12sec,2.713
55min 16sec,2.713
55min 20sec,2.713
55min 24sec,2.713
55min 28sec,2.713
55min 32sec,2.713
55min 36sec,2.713
55min 40sec,2.713
55min 44sec,2.713
55min 48sec,2.713
55min 52sec,2.713
55min 56sec,2.713
56min,2.713
56min 4sec,2.713
56min 8sec,2.713
56min 12sec,2.71
56min 16sec,2.713
56min 20sec,2.713
56min 24sec,2.71
56min 28sec,2.713
56min 32sec,2.71
56min 36sec,2.71
56min 40sec,2.71
56min 44sec,2.713
56min 48sec,2.71
56min 52sec,2.71
56min 56sec,2.71
57min,2.71
57min 4sec,2.71
57min 8sec,2.71
57min 12sec,2.71
57min 16sec,2.71
57min 20sec,2.71
57min 24sec,2.71
57min 28sec,2.71
57min 32sec,2.71
57min 36sec,2.71
57min 40sec,2.71
57min 44sec,2.71
57min 48sec,2.71
57min 52sec,2.71
57min 56sec,2.71
58min,2.71
58min 4sec,2.71
58min 8sec,2.71
58min 12sec,2.71
58min 16sec,2.707
58min 20sec,2.71
58min 24sec,2.71
58min 28sec,2.71
58min 32sec,2.71
58min 36sec,2.71
58min 40sec,2.71
58min 44sec,2.71
58min 48sec,2.71
58min 52sec,2.71
58min 56sec,2.707
59min,2.707
59min 4sec,2.707
59min 8sec,2.707
59min 12sec,2.707
59min 16sec,2.707
59min 20sec,2.707
59min 24sec,2.707
59min 28sec,2.707
59min 32sec,2.707
59min 36sec,2.707
59min 40sec,2.707
59min 44sec,2.707
59min 48sec,2.707
59min 52sec,2.707
59min 56sec,2.707
1hours 0sec,2.707
1hours 4sec,2.707
1hours 8sec,2.707
1hours 12sec,2.707
1hours 16sec,2.707
1hours 20sec,2.707
1hours 24sec,2.707
1hours 28sec,2.707
1hours 32sec,2.707
1hours 36sec,2.701
1hours 40sec,2.707
1hours 44sec,2.707
1hours 48sec,2.707
1hours 52sec,2.707
1hours 56sec,2.707
1hours 1min,2.701
1hours 1min 4sec,2.707
1hours 1min 8sec,2.701
1hours 1min 12sec,2.701
1hours 1min 16sec,2.707
1hours 1min 20sec,2.701
1hours 1min 24sec,2.701
1hours 1min 28sec,2.701
1hours 1min 32sec,2.701
1hours 1min 36sec,2.701
1hours 1min 40sec,2.701
1hours 1min 44sec,2.701
1hours 1min 48sec,2.701
1hours 1min 52sec,2.701
1hours 1min 56sec,2.701
1hours 2min,2.701
1hours 2min 4sec,2.701
1hours 2min 8sec,2.701
1hours 2min 12sec,2.701
1hours 2min 16sec,2.701
1hours 2min 20sec,2.701
1hours 2min 24sec,2.701
1hours 2min 28sec,2.701
1hours 2min 32sec,2.701
1hours 2min 36sec,2.701
